Name;Model parameters;Ollama name;tester;;;
qwen3;0,6B;qwen3:0.6b;matevz;;;
tinyllama;1,1B;tinyllama:latest;dorian;;;
deepseek R1;1,5B;deepseek-r1:1.5b;ali;;;
qwen3;1,7B;qwen3:1.7b;gio;;;
gemma 3;1B;gemma3:1b;raiko;;;
llama 3,2;1B;llama3.2:1b;farnaz;;;
granite4;1B;granite4:1b;matevz;;;
falcon3;1B;falcon3:1b;dorian;;;
exaone deep;2,7B;exaone-deep:2.4b;ali;;;
phi3;3,8B;phi3:3.8b;gio;;;
phi4 mini-reasoning;3,8B;phi4-mini-reasoning:3.8b;raiko;;;
llama 3,2;3B;llama3.2:3b;farnaz;;;
granite4;3B;granite4:3b;matevz;;;
cogito;3B;cogito:3b;dorian;;;
falcon3;3B ;falcon3:3b;ali;;;
gemma 3;4B;gemma3:4b;gio;;;
qwen3;4B;qwen3:4b;raiko;;;
nemotron-mini;4B;nemotron-mini:4b;dorian;;;
mistral;7B;mistral:7b;dorian;;;
deepseek R1; 7B;deepseek-r1:7b;dorian;;;
cogito;8B;cogito:8b;dorian;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
